code,province name,prefecture name,hdi
110100,北京市,市辖区,0.881
120000,天津市,市辖区,0.838
130100,河北省,石家庄市,0.749
130200,河北省,唐山市,0.766
130300,河北省,秦皇岛市,0.766
130400,河北省,邯郸市,0.715
130500,河北省,邢台市,0.701
130600,河北省,保定市,0.712
130700,河北省,张家口市,0.722
130800,河北省,承德市,0.723
130900,河北省,沧州市,0.737
131000,河北省,廊坊市,0.749
131100,河北省,衡水市,0.714
140100,山西省,太原市,0.787
140200,山西省,大同市,0.718
140300,山西省,阳泉市,0.735
140400,山西省,长治市,0.719
140500,山西省,晋城市,0.728
140600,山西省,朔州市,0.748
140700,山西省,晋中市,0.722
140800,山西省,运城市,0.7
140900,山西省,忻州市,0.704
141000,山西省,临汾市,0.706
141100,山西省,吕梁市,0.7
150100,内蒙古自治区,呼和浩特市,0.81
150200,内蒙古自治区,包头市,0.824
150300,内蒙古自治区,乌海市,0.797
150400,内蒙古自治区,赤峰市,0.742
150500,内蒙古自治区,通辽市,0.753
150600,内蒙古自治区,鄂尔多斯市,0.821
150700,内蒙古自治区,呼伦贝尔市,0.764
150800,内蒙古自治区,巴彦淖尔市,0.758
150900,内蒙古自治区,乌兰察布市,0.753
152200,内蒙古自治区,兴安盟,0.723
152500,内蒙古自治区,锡林郭勒盟,0.789
152900,内蒙古自治区,阿拉善盟,0.815
210100,辽宁省,沈阳市,0.787
210200,辽宁省,大连市,0.808
210300,辽宁省,鞍山市,0.758
210400,辽宁省,抚顺市,0.763
210500,辽宁省,本溪市,0.771
210600,辽宁省,丹东市,0.743
210700,辽宁省,锦州市,0.746
210800,辽宁省,营口市,0.772
210900,辽宁省,阜新市,0.719
211000,辽宁省,辽阳市,0.758
211100,辽宁省,盘锦市,0.792
211200,辽宁省,铁岭市,0.722
211300,辽宁省,朝阳市,0.72
211400,辽宁省,葫芦岛市,0.73
220100,吉林省,长春市,0.79
220200,吉林省,吉林市,0.788
220300,吉林省,四平市,0.749
220400,吉林省,辽源市,0.773
220500,吉林省,通化市,0.75
220600,吉林省,白山市,0.787
220700,吉林省,松原市,0.772
220800,吉林省,白城市,0.742
222400,吉林省,延边朝鲜族自治州,0.751
230100,黑龙江省,哈尔滨市,0.774
230200,黑龙江省,齐齐哈尔市,0.723
230300,黑龙江省,鸡西市,0.732
230400,黑龙江省,鹤岗市,0.715
230500,黑龙江省,双鸭山市,0.729
230600,黑龙江省,大庆市,0.789
230700,黑龙江省,伊春市,0.72
230800,黑龙江省,佳木斯市,0.735
230900,黑龙江省,七台河市,0.72
231000,黑龙江省,牡丹江市,0.763
231100,黑龙江省,黑河市,0.721
231200,黑龙江省,绥化市,0.705
232700,黑龙江省,大兴安岭地区,0.744
310000,上海市,市辖区,0.854
320100,江苏省,南京市,0.83
320200,江苏省,无锡市,0.826
320300,江苏省,徐州市,0.776
320400,江苏省,常州市,0.819
320500,江苏省,苏州市,0.832
320600,江苏省,南通市,0.8
320700,江苏省,连云港市,0.761
320800,江苏省,淮安市,0.772
320900,江苏省,盐城市,0.774
321000,江苏省,扬州市,0.798
321100,江苏省,镇江市,0.812
321200,江苏省,泰州市,0.795
321300,江苏省,宿迁市,0.756
330100,浙江省,杭州市,0.808
330200,浙江省,宁波市,0.803
330300,浙江省,温州市,0.762
330400,浙江省,嘉兴市,0.787
330500,浙江省,湖州市,0.782
330600,浙江省,绍兴市,0.788
330700,浙江省,金华市,0.771
330800,浙江省,衢州市,0.761
330900,浙江省,舟山市,0.795
331000,浙江省,台州市,0.768
331100,浙江省,丽水市,0.758
340100,安徽省,合肥市,0.777
340200,安徽省,芜湖市,0.76
340300,安徽省,蚌埠市,0.735
340400,安徽省,淮南市,0.718
340500,安徽省,马鞍山市,0.764
340600,安徽省,淮北市,0.738
340700,安徽省,铜陵市,0.752
340800,安徽省,安庆市,0.722
341000,安徽省,黄山市,0.735
341100,安徽省,滁州市,0.725
341200,安徽省,阜阳市,0.675
341300,安徽省,宿州市,0.706
341500,安徽省,六安市,0.696
341600,安徽省,亳州市,0.689
341700,安徽省,池州市,0.731
341800,安徽省,宣城市,0.73
350100,福建省,福州市,0.784
350200,福建省,厦门市,0.796
350300,福建省,莆田市,0.759
350400,福建省,三明市,0.766
350500,福建省,泉州市,0.765
350600,福建省,漳州市,0.759
350700,福建省,南平市,0.751
350800,福建省,龙岩市,0.766
350900,福建省,宁德市,0.755
360100,江西省,南昌市,0.772
360200,江西省,景德镇市,0.732
360300,江西省,萍乡市,0.744
360400,江西省,九江市,0.736
360500,江西省,新余市,0.778
360600,江西省,鹰潭市,0.75
360700,江西省,赣州市,0.705
360800,江西省,吉安市,0.719
360900,江西省,宜春市,0.718
361000,江西省,抚州市,0.706
361100,江西省,上饶市,0.706
